year2020,month2020,trip2020,year2021,month2021,trip2021,year2022,month2022,trip2022
07-Nov-20,11,1,25-Dec-21,12,1,,,
10-Nov-20,11,1,25-Dec-21,12,2,,,
10-Nov-20,11,1,25-Dec-21,12,2,,,
14-Nov-20,11,1,26-Dec-21,12,1,,,
16-Nov-20,11,1,26-Dec-21,12,1,,,
19-Nov-20,11,1,26-Dec-21,12,1,,,
19-Nov-20,11,1,26-Dec-21,12,2,,,
19-Nov-20,11,1,27-Dec-21,12,1,,,
19-Nov-20,11,1,27-Dec-21,12,2,,,
21-Nov-20,11,1,27-Dec-21,12,3,,,
21-Nov-20,11,1,28-Dec-21,12,1,,,
29-Nov-20,11,1,28-Dec-21,12,2,,,
03-Dec-20,12,1,29-Dec-21,12,1,,,
03-Dec-20,12,1,29-Dec-21,12,2,,,
03-Dec-20,12,1,29-Dec-21,12,3,,,
10-Dec-20,12,1,30-Dec-21,12,1,,,
10-Dec-20,12,1,30-Dec-21,12,2,,,
11-Dec-20,12,1,30-Dec-21,12,3,,,
11-Dec-20,12,1,30-Dec-21,12,4,,,
12-Dec-20,12,1,30-Dec-21,12,4,,,
13-Dec-20,12,1,31-Dec-21,12,1,,,
14-Dec-20,12,1,31-Dec-21,12,2,,,
14-Dec-20,12,2,31-Dec-21,12,3,,,
15-Dec-20,12,1,,,,,,
15-Dec-20,12,2,,,,,,
15-Dec-20,12,2,,,,,,
15-Dec-20,12,2,,,,,,
15-Dec-20,12,3,,,,,,
15-Dec-20,12,3,,,,,,
16-Dec-20,12,1,,,,,,
17-Dec-20,12,1,,,,,,
19-Dec-20,12,1,,,,,,
19-Dec-20,12,1,,,,,,
19-Dec-20,12,2,,,,,,
19-Dec-20,12,2,,,,,,
19-Dec-20,12,2,,,,,,
21-Dec-20,12,1,,,,,,
22-Dec-20,12,1,,,,,,
22-Dec-20,12,1,,,,,,
26-Dec-20,12,1,,,,,,
26-Dec-20,12,1,,,,,,
26-Dec-20,12,2,,,,,,
26-Dec-20,12,2,,,,,,
26-Dec-20,12,3,,,,,,
26-Dec-20,12,3,,,,,,
27-Dec-20,12,1,,,,,,
28-Dec-20,12,1,,,,,,
28-Dec-20,12,1,,,,,,
28-Dec-20,12,1,,,,,,
29-Dec-20,12,1,,,,,,
29-Dec-20,12,1,,,,,,
29-Dec-20,12,1,,,,,,
29-Dec-20,12,1,,,,,,
29-Dec-20,12,1,,,,,,
29-Dec-20,12,2,,,,,,
29-Dec-20,12,2,,,,,,
30-Dec-20,12,1,,,,,,
30-Dec-20,12,1,,,,,,
30-Dec-20,12,1,,,,,,
30-Dec-20,12,1,,,,,,
30-Dec-20,12,2,,,,,,
30-Dec-20,12,1,,,,,,
30-Dec-20,12,2,,,,,,
30-Dec-20,12,2,,,,,,
30-Dec-20,12,3,,,,,,
30-Dec-20,12,3,,,,,,
