Study site,Individual,Date,DolphinMonth,Time,lat,lon,This matches the number of individuals and encounters in the 2014/15 Plett multimark data
Plettenberg,Ale,2014/09/16,2014_9,10:35:20,-34.06498,23.37963,
Plettenberg,Christiaan,2014/09/16,2014_9,10:39:25,-34.06498,23.37963,
Plettenberg,Gareth,2014/09/16,2014_9,10:41:31,-34.06498,23.37963,
Plettenberg,Roslynne,2014/09/16,2014_9,10:41:53,-34.06498,23.37963,
Plettenberg,Michelle,2014/10/24,2014_10,12:24:04,-34.01528,23.42753,
Plettenberg,Grey,2014/10/24,2014_10,12:24:50,-34.01528,23.42753,
Plettenberg,Nick,2014/10/24,2014_10,12:28:00,-34.01528,23.42753,
Plettenberg,Crystal,2014/10/24,2014_10,16:01:31,-34.04734,23.38368,
Plettenberg,Cuen,2015/01/24,2015_1,07:27:17,-34.03825,23.39177,
Plettenberg,Gareth,2015/01/24,2015_1,07:30:06,-34.03825,23.39177,
Plettenberg,Christiaan,2015/01/24,2015_1,07:32:54,-34.03825,23.39177,
Plettenberg,Frikkie,2015/01/24,2015_1,07:38:08,-34.03825,23.39177,
Plettenberg,Grey,2015/01/24,2015_1,07:41:04,-34.03825,23.39177,
Plettenberg,Adrian,2015/01/24,2015_1,07:41:15,-34.03825,23.39177,
Plettenberg,Ale,2015/01/24,2015_1,07:41:21,-34.03825,23.39177,
Plettenberg,Sabina,2015/01/24,2015_1,07:41:35,-34.03825,23.39177,
Plettenberg,Michelle,2015/01/24,2015_1,07:46:45,-34.03825,23.39177,
Plettenberg,Jono,2015/01/24,2015_1,08:14:14,-34.03825,23.39177,
Plettenberg,Maverick,2015/01/24,2015_1,08:14:16,-34.03825,23.39177,
Plettenberg,Keigan,2015/01/24,2015_1,08:15:22,-34.03825,23.39177,
Plettenberg,Noks,2015/01/24,2015_1,08:18:55,-34.03825,23.39177,
Plettenberg,Nasreen,2015/01/24,2015_1,08:19:14,-34.03825,23.39177,
Plettenberg,Andrea,2015/01/24,2015_1,08:19:34,-34.03825,23.39177,
Plettenberg,Louis,2015/01/24,2015_1,08:26:47,-34.03825,23.39177,
Plettenberg,Stefan,2015/01/24,2015_1,10:19:37,-34.03825,23.39177,
Plettenberg,Chris,2015/01/24,2015_1,10:19:51,-34.03825,23.39177,
Plettenberg,Tracy,2015/01/24,2015_1,10:19:52,-34.03825,23.39177,
Plettenberg,Water,2015/01/24,2015_1,10:20:22,-34.03825,23.39177,
Plettenberg,Grey,2015/01/24,2015_1,11:18:02,-34.03825,23.39177,
Plettenberg,Sabina,2015/01/24,2015_1,11:21:50,-34.03825,23.39177,
Plettenberg,Sanra,2015/02/23,2015_2,12:28:40,-34.00549,23.47207,
Plettenberg,Sabina,2015/02/23,2015_2,12:29:15,-34.00549,23.47207,
Plettenberg,Grey,2015/02/23,2015_2,12:29:50,-34.00549,23.47207,
Plettenberg,Christiaan,2015/06/10,2015_6,09:45:14,-34.04841,23.38436,
Plettenberg,Roslynne,2015/06/18,2015_6,12:26:42,-34.09374,23.37754,
